,Human,Goat,Opossum,Gallus,Lemur,Mouse,Rabbit,Rat,Gorilla,Bovine,Chimpanzee
Human,0,1.4910,1.4560,1.6750,1.5850,1.4077,1.2965,1.6530,0.0761,1.3057,0.4985
Goat,1.4910,0,1.6441,1.9841,1.8822,1.3144,1.4384,1.5509,1.4994,0.7923,1.4160
Opossum,1.4560,1.6441,0,1.9269,2.1256,1.4288,1.8076,1.6523,1.4762,1.6895,1.3973
Gallus,1.6750,1.9841,1.9269,0,2.5710,2.0517,2.2715,2.3574,1.6662,1.8955,1.7628
Lemur,1.5850,1.8822,2.1256,2.5710,0,1.6710,1.3634,1.5605,1.5954,1.7784,1.3910
Mouse,1.4077,1.3144,1.4288,2.0517,1.6710,0,1.2821,1.1518,1.4183,1.2353,1.1992
Rabbit,1.2965,1.4384,1.8076,2.2715,1.3634,1.2821,0,1.5014,1.3039,1.3352,1.0783
Rat,1.6530,1.5509,1.6523,2.3574,1.5605,1.1518,1.5014,0,1.6740,1.6296,1.4758
Gorilla,0.0761,1.4994,1.4762,1.6662,1.5954,1.4183,1.3039,1.6740,0,1.3060,0.4993
Bovine,1.3057,0.7923,1.6895,1.8955,1.7784,1.2353,1.3352,1.6296,1.3060,0,1.2258
Chimpanzee,0.4985,1.4160,1.3973,1.7628,1.3910,1.1992,1.0783,1.4758,0.4993,1.2258,0