,clothes,cake,door,hammer,tree,towel,chair,wind,clock,bottle,path,bed,toaster,table,ball,sand,plant,family,co-worker,cat,painting,jacuzzi,car,hat,bicycle,egg,kayak,backpack,guitar,field,bus,pen,candles,speaker,bench,exam,church,friend,fireworks,kitchen,laptop,cloud,water,cap,rug,mirror,fan,telephone,music,sunglasses,kettlebell
clothes,1.0,0.45941132,0.5995201,0.20839678,0.3884787,0.584575,0.35321268,0.17918639,0.30103087,0.55050105,0.16556758,0.66126454,0.16339108,0.49968988,0.40446252,0.37583724,0.20849864,0.4550184,0.062337503,0.43318364,0.52544194,0.17576075,0.53772604,0.53810763,0.41786313,0.28294566,0.10227276,0.6238305,0.3239204,0.22275102,0.37152347,0.2773565,0.49217767,0.03718001,0.29080647,0.1695152,0.22351232,0.42288548,0.36892527,0.6954786,0.49335608,0.17330295,0.43511352,0.39984995,0.5676484,0.40154445,0.27342415,0.29115668,0.33975196,0.68398774,-0.086828634
cake,0.45941132,1.0,0.45373493,0.3998232,0.49486512,0.6025628,0.36835873,0.31533438,0.28522497,0.6163055,0.19597791,0.5593974,0.5507558,0.5587729,0.30271193,0.47634462,0.32305652,0.30773395,0.015162412,0.37900662,0.37200886,0.27929994,0.19816415,0.4171046,0.14036658,0.7564413,0.16761789,0.31117925,0.2656765,0.19234446,0.08475875,0.40392774,0.48193508,0.3216679,0.16943647,0.05328959,0.1008783,0.28285187,0.2627064,0.65362453,0.21829194,0.23222834,0.46863812,0.29371452,0.44844896,0.31769273,0.13741042,0.17051885,0.29824758,0.22697267,-0.110927746
door,0.5995201,0.45373493,1.0,0.49194145,0.54772335,0.4925647,0.6252029,0.3612725,0.6419128,0.47899288,0.55177593,0.73547316,0.102396294,0.6912089,0.54375273,0.41257787,0.303219,0.4303074,0.0507585,0.39782572,0.3576103,0.18439716,0.6814754,0.46937302,0.50066006,0.33278945,0.15812933,0.5304246,0.35596538,0.384304,0.6149663,0.34904075,0.40871435,0.3728664,0.54080653,0.2900902,0.4499724,0.50557125,0.35900548,0.6755768,0.5410233,0.46265963,0.4543687,0.4498401,0.40388882,0.6019913,0.3910373,0.51937336,0.35286987,0.40748978,-0.1700323
hammer,0.20839678,0.3998232,0.49194145,1.0,0.3394421,0.3288288,0.45880294,0.37753657,0.4238143,0.29540196,0.2791061,0.27458215,0.15007767,0.40343827,0.44061455,0.42776683,0.2590827,0.04725423,-0.034497455,0.299424,0.34896055,-0.009336099,0.35317972,0.39111063,0.28127432,0.42878115,0.18121484,0.19611533,0.42646855,0.361579,0.16540906,0.47427478,0.24091285,0.17572139,0.27123615,0.10827748,0.0628348,0.3186435,0.32872346,0.31211483,0.07658963,0.25900897,0.27614647,0.40433338,0.31567097,0.35420924,0.2845119,0.057102066,0.3317015,0.10405806,-0.0076745525
tree,0.3884787,0.49486512,0.54772335,0.3394421,1.0,0.32101148,0.36127925,0.40802148,0.35319898,0.419967,0.533248,0.6154389,-0.02516678,0.4968351,0.33744848,0.58050346,0.5361605,0.49351454,-0.025228437,0.56609994,0.39127862,0.1436966,0.37526724,0.4715504,0.3370266,0.4837854,0.19314042,0.31545958,0.23817629,0.35601693,0.31802082,0.36110228,0.42535272,0.07520479,0.24148121,0.08236762,0.4158864,0.32191244,0.23172605,0.47585368,0.2672137,0.534584,0.5945727,0.39336205,0.32844102,0.3577903,0.3533523,0.15631558,0.20115395,0.19091038,-0.29497492
towel,0.584575,0.6025628,0.4925647,0.3288288,0.32101148,1.0,0.46187547,0.24831304,0.3677173,0.5892151,0.029327186,0.5752429,0.3115654,0.50626,0.53442377,0.50872207,0.13301189,0.10267711,0.045734636,0.37680995,0.22563809,0.40031147,0.20879948,0.5840049,0.2571,0.47514573,0.16894485,0.4637314,0.18552025,0.22649875,0.13250709,0.4077263,0.41226345,0.12311648,0.41194096,0.11609802,0.034414276,0.1683931,0.3384003,0.60755265,0.23171686,0.31841505,0.49815112,0.45351446,0.6889635,0.38061678,0.27181885,0.18620218,0.063194305,0.520122,0.06958011
chair,0.35321268,0.36835873,0.6252029,0.45880294,0.36127925,0.46187547,1.0,0.2494482,0.4327563,0.26077807,0.26706454,0.5256057,-0.011431584,0.5915806,0.43736243,0.28680605,0.19090486,0.33190244,0.117542475,0.29425296,0.36243203,0.20765309,0.257276,0.4146896,0.31000775,0.33029544,0.036817532,0.21368277,0.29599866,0.45466295,0.21829742,0.35931125,0.167576,0.51779217,0.57817066,0.37128788,0.40379003,0.43472773,0.10062427,0.57174325,0.21095467,0.33286196,0.38599727,0.45187345,0.380413,0.4734652,0.27462608,0.24742448,0.3351676,0.26829368,-0.11180709
wind,0.17918639,0.31533438,0.3612725,0.37753657,0.40802148,0.24831304,0.2494482,1.0,0.514798,0.32538667,0.52490336,0.4390454,0.21038426,0.27807754,0.45249325,0.62732637,0.46236902,0.17127831,-0.32785517,0.3989036,0.27671334,0.18801023,0.39387426,0.1429639,0.31012234,0.29089797,0.20511064,0.0038703643,0.49797848,0.49620572,0.35653928,0.30922276,0.25831154,0.21788496,0.2919921,0.15383832,0.13057826,0.20059922,0.4355087,0.29213464,0.12807292,0.60792917,0.7373012,0.36889464,0.15620796,0.36932412,0.39521086,0.3067349,0.4674909,0.022707693,-0.008685179
clock,0.30103087,0.28522497,0.6419128,0.4238143,0.35319898,0.3677173,0.4327563,0.514798,1.0,0.30139756,0.4790954,0.4769704,0.31954473,0.47978365,0.5333363,0.28583738,0.2811487,0.22221234,-0.20175879,0.33901772,0.28387874,0.05827248,0.49505064,0.29817557,0.45651865,0.28063056,0.11210303,0.34005013,0.3803208,0.5751492,0.48397595,0.27824908,0.34191048,0.27701056,0.48265302,0.41688544,0.29884863,0.16281748,0.530061,0.47983912,0.43977946,0.44482052,0.4011527,0.36720192,0.3891406,0.5102761,0.35102248,0.4434575,0.38028774,0.19542179,0.08149627
bottle,0.55050105,0.6163055,0.47899288,0.29540196,0.419967,0.5892151,0.26077807,0.32538667,0.30139756,1.0,0.10208964,0.5363682,0.40101588,0.47741693,0.4861903,0.43448994,0.36682945,0.25586084,-0.039589114,0.48065367,0.33794343,0.32141882,0.49474168,0.55891883,0.35746995,0.52239466,0.106229745,0.5830442,0.27380875,0.23477462,0.32534897,0.4678195,0.5281479,0.13127288,0.36256927,0.15515965,0.1521205,0.26455438,0.43615502,0.49864504,0.4140302,0.35264808,0.5657272,0.5135354,0.42284518,0.33788157,0.28680718,0.17671625,0.23851407,0.4732091,-0.112149715
path,0.16556758,0.19597791,0.55177593,0.2791061,0.533248,0.029327186,0.26706454,0.52490336,0.4790954,0.10208964,1.0,0.40896338,-0.123707145,0.39476612,0.45314988,0.4339385,0.23226734,0.2783348,-0.17197472,0.25555876,0.29883748,-0.18141279,0.44212544,0.2489403,0.43320912,0.17397405,0.17819847,0.13679436,0.18999243,0.4723777,0.45198897,0.2533287,0.05685528,0.18265831,0.21337558,0.21870472,0.35278216,0.29685456,0.10459601,0.13692747,0.17987682,0.4411211,0.46341348,0.31806675,0.0701364,0.39102206,0.27477038,0.29541844,0.25101045,0.017425574,-0.10035176
bed,0.66126454,0.5593974,0.73547316,0.27458215,0.6154389,0.5752429,0.5256057,0.4390454,0.4769704,0.5363682,0.40896338,1.0,0.1718631,0.5605858,0.43948933,0.59860396,0.302948,0.49018136,0.09552569,0.54301095,0.32619584,0.4187939,0.47918373,0.3792556,0.35441917,0.46967244,0.2716651,0.5453218,0.30088246,0.29228377,0.4698354,0.23770732,0.44815862,0.17137326,0.36529413,0.29069433,0.30968794,0.4584676,0.21825817,0.74117756,0.39393297,0.4456692,0.66256505,0.3866292,0.4283272,0.5288684,0.26501676,0.33838457,0.27922076,0.36831516,-0.12078971
toaster,0.16339108,0.5507558,0.102396294,0.15007767,-0.02516678,0.3115654,-0.011431584,0.21038426,0.31954473,0.40101588,-0.123707145,0.1718631,1.0,0.035547584,0.02527238,0.05687911,0.05930482,-0.032141104,0.06456254,0.19912183,0.13604599,0.39716882,0.10039088,0.06348142,0.07599212,0.34602034,0.020891719,0.27210057,0.19231601,-0.043655217,-0.0033823792,0.3195588,0.31175184,0.22404262,-0.104256116,0.011174135,-0.13986452,0.0049575344,0.23026259,0.41898626,0.32803255,0.01394904,0.049054403,-0.066289775,0.36719024,0.19310603,0.0045016,0.07095067,0.18298241,0.13741648,0.14734963
table,0.49968988,0.5587729,0.6912089,0.40343827,0.4968351,0.50626,0.5915806,0.27807754,0.47978365,0.47741693,0.39476612,0.5605858,0.035547584,1.0,0.5481716,0.4333612,0.25109965,0.36828715,-0.12109175,0.28062597,0.3840453,0.21789545,0.4214154,0.506605,0.33676726,0.40943816,0.2914047,0.2993528,0.25196877,0.50958794,0.305777,0.39425462,0.3465299,0.34472972,0.5962733,0.415856,0.35529023,0.29751378,0.29760927,0.5942894,0.29889286,0.34869185,0.51695424,0.4720653,0.31646454,0.51908636,0.4160234,0.36040238,0.33693522,0.24018116,-0.13711584
ball,0.40446252,0.30271193,0.54375273,0.44061455,0.33744848,0.53442377,0.43736243,0.45249325,0.5333363,0.4861903,0.45314988,0.43948933,0.02527238,0.5481716,1.0000001,0.5440471,0.08754797,0.16991964,-0.09245564,0.46337318,0.3456455,-0.04373327,0.41737902,0.7267132,0.3753193,0.27620038,0.13108268,0.34297937,0.4640981,0.67743295,0.35186917,0.4031635,0.1543527,0.18609959,0.7291491,0.26212627,0.16434412,0.41213188,0.2827587,0.363206,0.26629603,0.2907169,0.4744505,0.5324121,0.4053351,0.38077325,0.4805148,0.239553,0.34000707,0.355453,-0.07558033
sand,0.37583724,0.47634462,0.41257787,0.42776683,0.58050346,0.50872207,0.28680605,0.62732637,0.28583738,0.43448994,0.4339385,0.59860396,0.05687911,0.4333612,0.5440471,1.0,0.37102476,0.15285699,-0.23519275,0.41365543,0.4456845,0.20543356,0.24260405,0.38013393,0.2593941,0.4138284,0.31434417,0.21526016,0.294887,0.4620284,0.20308948,0.30949116,0.27257305,-0.049609073,0.3203465,0.07100786,0.1033383,0.15190923,0.301877,0.42241904,-0.012108438,0.52483314,0.77370036,0.46355128,0.44585627,0.30987024,0.21742216,0.058628723,0.2300383,0.18331811,-0.10610365
plant,0.20849864,0.32305652,0.303219,0.2590827,0.5361605,0.13301189,0.19090486,0.46236902,0.2811487,0.36682945,0.23226734,0.302948,0.05930482,0.25109965,0.08754797,0.37102476,1.0,0.40993428,-0.17196152,0.24875063,0.2640417,0.0722554,0.43392015,0.07989476,0.28859723,0.4696316,0.04743657,0.15517637,0.15712294,0.40610313,0.34790334,0.11887604,0.22766261,0.123232774,0.07572624,0.02672657,0.3098131,0.1889328,0.31179667,0.37410292,0.28821847,0.43196338,0.60915846,0.22733055,0.109025,0.09460322,0.22285438,0.30364323,0.20596787,-0.09639589,-0.15932491
family,0.4550184,0.30773395,0.4303074,0.04725423,0.49351454,0.10267711,0.33190244,0.17127831,0.22221234,0.25586084,0.2783348,0.49018136,-0.032141104,0.36828715,0.16991964,0.15285699,0.40993428,1.0,0.2620677,0.46313947,0.37664837,0.062940985,0.41850483,0.23295316,0.19097713,0.32804602,0.029295191,0.106938116,0.19665207,0.2954771,0.34835267,0.16062298,0.23563133,0.32276833,0.23357297,0.06434309,0.63352615,0.7233044,0.10379814,0.48115972,0.27148277,0.19535516,0.33779654,0.14506823,0.089798905,0.2982667,0.40517175,0.47055686,0.36060533,0.12015982,-0.47798458
co-worker,0.062337503,0.015162412,0.0507585,-0.034497455,-0.025228437,0.045734636,0.117542475,-0.32785517,-0.20175879,-0.039589114,-0.17197472,0.09552569,0.06456254,-0.12109175,-0.09245564,-0.23519275,-0.17196152,0.2620677,1.0,0.14228371,0.02603677,0.25591063,-0.07556147,0.065474585,-0.041464593,0.101652205,-0.0012302324,0.1793542,0.15575564,-0.18336572,-0.102714196,-0.0011112243,-0.04339493,0.11418284,-0.03890565,-0.028008573,0.025116108,0.5040268,-0.31867328,0.1674232,0.15857793,-0.12657332,-0.27444467,-0.31022766,-0.13164783,0.06213966,0.22913514,-0.015432522,0.005483687,0.11563431,0.123156756
cat,0.43318364,0.37900662,0.39782572,0.299424,0.56609994,0.37680995,0.29425296,0.3989036,0.33901772,0.48065367,0.25555876,0.54301095,0.19912183,0.28062597,0.46337318,0.41365543,0.24875063,0.46313947,0.14228371,1.0,0.28458312,0.18697987,0.36382526,0.6289425,0.3612979,0.47025925,0.2597332,0.3933606,0.29942372,0.24851419,0.30721325,0.50976825,0.1334969,0.052045874,0.19340333,0.22354715,0.14191929,0.44959825,0.26807618,0.40302196,0.2920031,0.35966152,0.4353832,0.40282404,0.43032378,0.39958343,0.4661993,0.14853399,0.33486357,0.34419465,-0.06948817
painting,0.52544194,0.37200886,0.3576103,0.34896055,0.39127862,0.22563809,0.36243203,0.27671334,0.28387874,0.33794343,0.29883748,0.32619584,0.13604599,0.3840453,0.3456455,0.4456845,0.2640417,0.37664837,0.02603677,0.28458312,0.99999994,0.01674113,0.25414488,0.38097286,0.21988957,0.2750555,-0.021109875,0.20044245,0.33783945,0.33764896,0.06922952,0.4600423,0.37430865,0.055772074,0.21794976,0.2208047,0.4010741,0.40601107,0.3243438,0.47288316,0.18870682,0.24889754,0.3583125,0.27101895,0.34078205,0.4430739,0.27165952,0.06623873,0.50605625,0.31433764,-0.31181836
jacuzzi,0.17576075,0.27929994,0.18439716,-0.009336099,0.1436966,0.40031147,0.20765309,0.18801023,0.05827248,0.32141882,-0.18141279,0.4187939,0.39716882,0.21789545,-0.04373327,0.20543356,0.0722554,0.062940985,0.25591063,0.18697987,0.01674113,1.0,0.05534235,0.032623395,0.18081045,0.1965737,0.3852136,0.15559275,0.13672861,-0.10102714,0.0011977553,0.14140318,0.2968615,0.032982916,0.0629442,0.07328889,-0.035270028,-0.0035524815,0.101230435,0.46262777,0.15393543,0.20439354,0.23087084,0.008370556,0.15754998,0.25921845,0.08544998,-0.012513943,0.037683643,0.2470155,0.14418478
car,0.53772604,0.19816415,0.6814754,0.35317972,0.37526724,0.20879948,0.257276,0.39387426,0.49505064,0.49474168,0.44212544,0.47918373,0.10039088,0.4214154,0.41737902,0.24260405,0.43392015,0.41850483,-0.07556147,0.36382526,0.25414488,0.05534235,1.0,0.34982863,0.75602764,0.13363269,0.22187805,0.5201308,0.3155635,0.38395682,0.8210511,0.26361752,0.22553636,0.17565273,0.28517595,0.15145364,0.21848512,0.4347448,0.44466975,0.44222918,0.54136986,0.2986284,0.39965916,0.3326453,0.15792245,0.4040489,0.38565743,0.494247,0.29621974,0.27673274,-0.1384517
hat,0.53810763,0.4171046,0.46937302,0.39111063,0.4715504,0.5840049,0.4146896,0.1429639,0.29817557,0.55891883,0.2489403,0.3792556,0.06348142,0.506605,0.7267132,0.38013393,0.07989476,0.23295316,0.065474585,0.6289425,0.38097286,0.032623395,0.34982863,1.0,0.39727098,0.35561588,0.17155656,0.48612845,0.35191336,0.43295842,0.24136227,0.5806817,0.22733168,0.065662526,0.49086022,0.20021611,0.19888826,0.35905993,0.25268558,0.35688952,0.28584486,0.20593141,0.28926513,0.6713495,0.5250398,0.35498634,0.50526893,0.08325352,0.27073902,0.5905539,-0.057444446
bicycle,0.41786313,0.14036658,0.50066006,0.28127432,0.3370266,0.2571,0.31000775,0.31012234,0.45651865,0.35746995,0.43320912,0.35441917,0.07599212,0.33676726,0.3753193,0.2593941,0.28859723,0.19097713,-0.041464593,0.3612979,0.21988957,0.18081045,0.75602764,0.39727098,1.0,0.11780828,0.5419997,0.51376736,0.26652643,0.38105994,0.7277323,0.30196446,0.12920536,-0.025639072,0.12710609,0.23979658,0.1069237,0.17877966,0.38151482,0.35819286,0.3945325,0.21557917,0.3464721,0.30809632,0.27255225,0.2708732,0.2894112,0.29260683,0.23131248,0.29827243,0.16081634
