,clothes,cake,door,hammer,tree,towel,chair,wind,clock,bottle,path,bed,toaster,table,ball,sand,plant,family,co-worker,cat,painting,jacuzzi,car,hat,bicycle,egg,kayak,backpack,guitar,field,bus,pen,candles,speaker,bench,exam,church,friend,fireworks,kitchen,laptop,cloud,water,cap,rug,mirror,fan,telephone,music,sunglasses,kettlebell
egg,0.28294566,0.7564413,0.33278945,0.42878115,0.4837854,0.47514573,0.33029544,0.29089797,0.28063056,0.52239466,0.17397405,0.46967244,0.34602034,0.40943816,0.27620038,0.4138284,0.4696316,0.32804602,0.101652205,0.47025925,0.2750555,0.1965737,0.13363269,0.35561588,0.11780828,1.0000001,0.056030273,0.30732363,0.10993059,0.2818224,0.11617005,0.35419676,0.38237625,0.15949456,0.17000777,0.1577384,0.15018123,0.20702296,0.20247678,0.48984542,0.14034161,0.300315,0.51026535,0.3398979,0.25766793,0.3075426,0.15021712,0.09775711,0.16391169,0.09918939,-0.06790176
kayak,0.10227276,0.16761789,0.15812933,0.18121484,0.19314042,0.16894485,0.036817532,0.20511064,0.11210303,0.106229745,0.17819847,0.2716651,0.020891719,0.2914047,0.13108268,0.31434417,0.04743657,0.029295191,-0.0012302324,0.2597332,-0.021109875,0.3852136,0.22187805,0.17155656,0.5419997,0.056030273,0.99999994,0.21738982,0.11282951,0.13032025,0.2327314,0.19205338,-0.00080441963,-0.25221175,-0.1190875,0.22538781,-0.22344196,-0.007482402,0.10143787,0.09797669,0.08747272,0.058416486,0.17601654,0.099193014,0.14231335,0.084729746,0.12283641,0.12691718,0.05271346,0.104059406,0.24283352
backpack,0.6238305,0.31117925,0.5304246,0.19611533,0.31545958,0.4637314,0.21368277,0.0038703643,0.34005013,0.5830442,0.13679436,0.5453218,0.27210057,0.2993528,0.34297937,0.21526016,0.15517637,0.106938116,0.1793542,0.3933606,0.20044245,0.15559275,0.5201308,0.48612845,0.51376736,0.30732363,0.21738982,1.0,0.061663475,0.16371372,0.47671807,0.27777728,0.38836032,-0.0806077,0.13022424,0.29105324,-0.04058313,0.18556052,0.277754,0.47537005,0.6628995,0.20745814,0.27237454,0.29277515,0.44448695,0.30651382,0.13569963,0.18616728,-0.062219273,0.5360404,0.21137872
guitar,0.3239204,0.2656765,0.35596538,0.42646855,0.23817629,0.18552025,0.29599866,0.49797848,0.3803208,0.27380875,0.18999243,0.30088246,0.19231601,0.25196877,0.4640981,0.294887,0.15712294,0.19665207,0.15575564,0.29942372,0.33783945,0.13672861,0.3155635,0.35191336,0.26652643,0.10993059,0.11282951,0.061663475,1.0,0.349436,0.23314399,0.20958914,0.23728316,0.30827707,0.39601117,0.11246391,0.21445093,0.41434705,0.24102972,0.3731615,0.23441318,0.20984861,0.25273103,0.21998686,0.14552477,0.28054252,0.47340217,0.2493267,0.7736387,0.20551327,0.052913472
field,0.22275102,0.19234446,0.384304,0.361579,0.35601693,0.22649875,0.45466295,0.49620572,0.5751492,0.23477462,0.4723777,0.29228377,-0.043655217,0.50958794,0.67743295,0.4620284,0.40610313,0.2954771,-0.18336572,0.24851419,0.33764896,-0.10102714,0.38395682,0.43295842,0.38105994,0.2818224,0.13032025,0.16371372,0.349436,1.0,0.31388205,0.22539094,0.07832123,0.20785019,0.58982277,0.3285871,0.27411264,0.31439108,0.30784988,0.2961403,0.18940522,0.43931973,0.52061445,0.4682644,0.14991763,0.30753845,0.4670347,0.3318923,0.3759305,0.079520345,-0.06533034
bus,0.37152347,0.08475875,0.6149663,0.16540906,0.31802082,0.13250709,0.21829742,0.35653928,0.48397595,0.32534897,0.45198897,0.4698354,-0.0033823792,0.305777,0.35186917,0.20308948,0.34790334,0.34835267,-0.102714196,0.30721325,0.06922952,0.0011977553,0.8210511,0.24136227,0.7277323,0.11617005,0.2327314,0.47671807,0.23314399,0.31388205,1.0,0.13041385,0.26429585,0.18654245,0.22500916,0.18657118,0.3502531,0.29611918,0.43507838,0.37497982,0.3914563,0.22303487,0.41440862,0.16886349,0.10396358,0.27760118,0.2893826,0.57577753,0.25248116,0.08993013,-0.10615032
pen,0.2773565,0.40392774,0.34904075,0.47427478,0.36110228,0.4077263,0.35931125,0.30922276,0.27824908,0.4678195,0.2533287,0.23770732,0.3195588,0.39425462,0.4031635,0.30949116,0.11887604,0.16062298,-0.0011112243,0.50976825,0.4600423,0.14140318,0.26361752,0.5806817,0.30196446,0.35419676,0.19205338,0.27777728,0.20958914,0.22539094,0.13041385,1.0,0.25180125,0.33896875,0.14754492,0.32613853,0.16728896,0.3281898,0.22585662,0.22258437,0.28367215,0.30607995,0.30749476,0.38608956,0.30711305,0.47432113,0.4709894,0.2764386,0.29224294,0.38579768,-0.25691375
candles,0.49217767,0.48193508,0.40871435,0.24091285,0.42535272,0.41226345,0.167576,0.25831154,0.34191048,0.5281479,0.05685528,0.44815862,0.31175184,0.3465299,0.1543527,0.27257305,0.22766261,0.23563133,-0.04339493,0.1334969,0.37430865,0.2968615,0.22553636,0.22733168,0.12920536,0.38237625,-0.00080441963,0.38836032,0.23728316,0.07832123,0.26429585,0.25180125,1.0,0.094444074,0.20405391,-0.06776747,0.3545305,0.12725914,0.5933764,0.45733914,0.2577756,0.28821224,0.38567346,0.16162625,0.28691262,0.3070833,0.22949387,0.1738879,0.24099182,0.40460622,-0.16334644
speaker,0.03718001,0.3216679,0.3728664,0.17572139,0.07520479,0.12311648,0.51779217,0.21788496,0.27701056,0.13127288,0.18265831,0.17137326,0.22404262,0.34472972,0.18609959,-0.049609073,0.123232774,0.32276833,0.11418284,0.052045874,0.055772074,0.032982916,0.17565273,0.065662526,-0.025639072,0.15949456,-0.25221175,-0.0806077,0.30827707,0.20785019,0.18654245,0.33896875,0.094444074,1.0,0.36349156,0.21838287,0.32659364,0.4631106,0.08706098,0.30634052,0.20642294,0.075797275,0.16433136,0.0031564254,-0.04337989,0.18489762,0.32836545,0.5156449,0.35760915,-0.090624034,-0.27805614
bench,0.29080647,0.16943647,0.54080653,0.27123615,0.24148121,0.41194096,0.57817066,0.2919921,0.48265302,0.36256927,0.21337558,0.36529413,-0.104256116,0.5962733,0.7291491,0.3203465,0.07572624,0.23357297,-0.03890565,0.19340333,0.21794976,0.0629442,0.28517595,0.49086022,0.12710609,0.17000777,-0.1190875,0.13022424,0.39601117,0.58982277,0.22500916,0.14754492,0.20405391,0.36349156,1.0,0.35166374,0.3866257,0.3235579,0.20491701,0.35486025,0.15055072,0.28615856,0.33076978,0.5457012,0.18451093,0.29387945,0.40800628,0.17878672,0.24626347,0.28183234,-0.16193226
exam,0.1695152,0.05328959,0.2900902,0.10827748,0.08236762,0.11609802,0.37128788,0.15383832,0.41688544,0.15515965,0.21870472,0.29069433,0.011174135,0.415856,0.26212627,0.07100786,0.02672657,0.06434309,-0.028008573,0.22354715,0.2208047,0.07328889,0.15145364,0.20021611,0.23979658,0.1577384,0.22538781,0.29105324,0.11246391,0.3285871,0.18657118,0.32613853,-0.06776747,0.21838287,0.35166374,1.0,0.11561088,0.0746984,0.05451572,0.17906305,0.31319916,0.12976344,0.23138292,0.27531287,0.037249964,0.24920133,0.12993808,0.26157278,0.2180954,0.03612326,0.107489675
church,0.22351232,0.1008783,0.4499724,0.0628348,0.4158864,0.034414276,0.40379003,0.13057826,0.29884863,0.1521205,0.35278216,0.30968794,-0.13986452,0.35529023,0.16434412,0.1033383,0.3098131,0.63352615,0.025116108,0.14191929,0.4010741,-0.035270028,0.21848512,0.19888826,0.1069237,0.15018123,-0.22344196,-0.04058313,0.21445093,0.27411264,0.3502531,0.16728896,0.3545305,0.32659364,0.3866257,0.11561088,1.0,0.4097861,0.1148736,0.31348202,0.043107297,0.21833424,0.24651608,0.21777228,0.07408189,0.31106088,0.32232028,0.3016096,0.38452396,0.006792154,-0.45936978
friend,0.42288548,0.28285187,0.50557125,0.3186435,0.32191244,0.1683931,0.43472773,0.20059922,0.16281748,0.26455438,0.29685456,0.4584676,0.0049575344,0.29751378,0.41213188,0.15190923,0.1889328,0.7233044,0.5040268,0.44959825,0.40601107,-0.0035524815,0.4347448,0.35905993,0.17877966,0.20702296,-0.007482402,0.18556052,0.41434705,0.31439108,0.29611918,0.3281898,0.12725914,0.4631106,0.3235579,0.0746984,0.4097861,1.0,0.014036403,0.43996227,0.2942077,0.12973902,0.22079493,0.09834674,0.027695732,0.31811234,0.5730732,0.41732174,0.45744288,0.19417709,-0.38539034
fireworks,0.36892527,0.2627064,0.35900548,0.32872346,0.23172605,0.3384003,0.10062427,0.4355087,0.530061,0.43615502,0.10459601,0.21825817,0.23026259,0.29760927,0.2827587,0.301877,0.31179667,0.10379814,-0.31867328,0.26807618,0.3243438,0.101230435,0.44466975,0.25268558,0.38151482,0.20247678,0.10143787,0.277754,0.24102972,0.30784988,0.43507838,0.22585662,0.5933764,0.08706098,0.20491701,0.05451572,0.1148736,0.014036403,0.99999994,0.3142488,0.15577362,0.31057602,0.39188412,0.19475846,0.349442,0.23512742,0.3547361,0.2375601,0.3671428,0.21354003,-0.024034746
kitchen,0.6954786,0.65362453,0.6755768,0.31211483,0.47585368,0.60755265,0.57174325,0.29213464,0.47983912,0.49864504,0.13692747,0.74117756,0.41898626,0.5942894,0.363206,0.42241904,0.37410292,0.48115972,0.1674232,0.40302196,0.47288316,0.46262777,0.44222918,0.35688952,0.35819286,0.48984542,0.09797669,0.47537005,0.3731615,0.2961403,0.37497982,0.22258437,0.45733914,0.30634052,0.35486025,0.17906305,0.31348202,0.43996227,0.3142488,1.0,0.46835083,0.2615466,0.5120447,0.22295794,0.52557987,0.40737388,0.2500139,0.3398609,0.38056815,0.30679023,-0.06878579
laptop,0.49335608,0.21829194,0.5410233,0.07658963,0.2672137,0.23171686,0.21095467,0.12807292,0.43977946,0.4140302,0.17987682,0.39393297,0.32803255,0.29889286,0.26629603,-0.012108438,0.28821847,0.27148277,0.15857793,0.2920031,0.18870682,0.15393543,0.54136986,0.28584486,0.3945325,0.14034161,0.08747272,0.6628995,0.23441318,0.18940522,0.3914563,0.28367215,0.2577756,0.20642294,0.15055072,0.31319916,0.043107297,0.2942077,0.15577362,0.46835083,1.0,0.26827297,0.21458516,0.1404938,0.22564629,0.3434239,0.2983256,0.5314049,0.21657336,0.4199337,0.009068169
cloud,0.17330295,0.23222834,0.46265963,0.25900897,0.534584,0.31841505,0.33286196,0.60792917,0.44482052,0.35264808,0.4411211,0.4456692,0.01394904,0.34869185,0.2907169,0.52483314,0.43196338,0.19535516,-0.12657332,0.35966152,0.24889754,0.20439354,0.2986284,0.20593141,0.21557917,0.300315,0.058416486,0.20745814,0.20984861,0.43931973,0.22303487,0.30607995,0.28821224,0.075797275,0.28615856,0.12976344,0.21833424,0.12973902,0.31057602,0.2615466,0.26827297,1.0,0.655247,0.42239717,0.13606197,0.600056,0.42693293,0.30361474,0.26303855,0.26682696,-0.08202657
water,0.43511352,0.46863812,0.4543687,0.27614647,0.5945727,0.49815112,0.38599727,0.7373012,0.4011527,0.5657272,0.46341348,0.66256505,0.049054403,0.51695424,0.4744505,0.77370036,0.60915846,0.33779654,-0.27444467,0.4353832,0.3583125,0.23087084,0.39965916,0.28926513,0.3464721,0.51026535,0.17601654,0.27237454,0.25273103,0.52061445,0.41440862,0.30749476,0.38567346,0.16433136,0.33076978,0.23138292,0.24651608,0.22079493,0.39188412,0.5120447,0.21458516,0.655247,1.0,0.46778432,0.29242826,0.344681,0.32940745,0.35521474,0.30853656,0.12111266,-0.11504543
cap,0.39984995,0.29371452,0.4498401,0.40433338,0.39336205,0.45351446,0.45187345,0.36889464,0.36720192,0.5135354,0.31806675,0.3866292,-0.066289775,0.4720653,0.5324121,0.46355128,0.22733055,0.14506823,-0.31022766,0.40282404,0.27101895,0.008370556,0.3326453,0.6713495,0.30809632,0.3398979,0.099193014,0.29277515,0.21998686,0.4682644,0.16886349,0.38608956,0.16162625,0.0031564254,0.5457012,0.27531287,0.21777228,0.09834674,0.19475846,0.22295794,0.1404938,0.42239717,0.46778432,0.99999994,0.3809253,0.33771887,0.29909572,0.053738087,0.15368217,0.49126673,-0.00771641
rug,0.5676484,0.44844896,0.40388882,0.31567097,0.32844102,0.6889635,0.380413,0.15620796,0.3891406,0.42284518,0.0701364,0.4283272,0.36719024,0.31646454,0.4053351,0.44585627,0.109025,0.089798905,-0.13164783,0.43032378,0.34078205,0.15754998,0.15792245,0.5250398,0.27255225,0.25766793,0.14231335,0.44448695,0.14552477,0.14991763,0.10396358,0.30711305,0.28691262,-0.04337989,0.18451093,0.037249964,0.07408189,0.027695732,0.349442,0.52557987,0.22564629,0.13606197,0.29242826,0.3809253,0.99999994,0.27661833,0.016421419,0.04284267,0.10302991,0.44870132,0.08656164
mirror,0.40154445,0.31769273,0.6019913,0.35420924,0.3577903,0.38061678,0.4734652,0.36932412,0.5102761,0.33788157,0.39102206,0.5288684,0.19310603,0.51908636,0.38077325,0.30987024,0.09460322,0.2982667,0.06213966,0.39958343,0.4430739,0.25921845,0.4040489,0.35498634,0.2708732,0.3075426,0.084729746,0.30651382,0.28054252,0.30753845,0.27760118,0.47432113,0.3070833,0.18489762,0.29387945,0.24920133,0.31106088,0.31811234,0.23512742,0.40737388,0.3434239,0.600056,0.344681,0.33771887,0.27661833,1.0,0.41787127,0.36858687,0.41738462,0.4409229,-0.18352991
fan,0.27342415,0.13741042,0.3910373,0.2845119,0.3533523,0.27181885,0.27462608,0.39521086,0.35102248,0.28680718,0.27477038,0.26501676,0.0045016,0.4160234,0.4805148,0.21742216,0.22285438,0.40517175,0.22913514,0.4661993,0.27165952,0.08544998,0.38565743,0.50526893,0.2894112,0.15021712,0.12283641,0.13569963,0.47340217,0.4670347,0.2893826,0.4709894,0.22949387,0.32836545,0.40800628,0.12993808,0.32232028,0.5730732,0.3547361,0.2500139,0.2983256,0.42693293,0.32940745,0.29909572,0.016421419,0.41787127,0.99999994,0.38209808,0.5312829,0.24357243,-0.1605631
telephone,0.29115668,0.17051885,0.51937336,0.057102066,0.15631558,0.18620218,0.24742448,0.3067349,0.4434575,0.17671625,0.29541844,0.33838457,0.07095067,0.36040238,0.239553,0.058628723,0.30364323,0.47055686,-0.015432522,0.14853399,0.06623873,-0.012513943,0.494247,0.08325352,0.29260683,0.09775711,0.12691718,0.18616728,0.2493267,0.3318923,0.57577753,0.2764386,0.1738879,0.5156449,0.17878672,0.26157278,0.3016096,0.41732174,0.2375601,0.3398609,0.5314049,0.30361474,0.35521474,0.053738087,0.04284267,0.36858687,0.38209808,1.0,0.37843275,0.10666778,-0.2886656
music,0.33975196,0.29824758,0.35286987,0.3317015,0.20115395,0.063194305,0.3351676,0.4674909,0.38028774,0.23851407,0.25101045,0.27922076,0.18298241,0.33693522,0.34000707,0.2300383,0.20596787,0.36060533,0.005483687,0.33486357,0.50605625,0.037683643,0.29621974,0.27073902,0.23131248,0.16391169,0.05271346,-0.062219273,0.7736387,0.3759305,0.25248116,0.29224294,0.24099182,0.35760915,0.24626347,0.2180954,0.38452396,0.45744288,0.3671428,0.38056815,0.21657336,0.26303855,0.30853656,0.15368217,0.10302991,0.41738462,0.5312829,0.37843275,1.0,0.11658339,-0.16417828
sunglasses,0.68398774,0.22697267,0.40748978,0.10405806,0.19091038,0.520122,0.26829368,0.022707693,0.19542179,0.4732091,0.017425574,0.36831516,0.13741648,0.24018116,0.355453,0.18331811,-0.09639589,0.12015982,0.11563431,0.34419465,0.31433764,0.2470155,0.27673274,0.5905539,0.29827243,0.09918939,0.104059406,0.5360404,0.20551327,0.079520345,0.08993013,0.38579768,0.40460622,-0.090624034,0.28183234,0.03612326,0.006792154,0.19417709,0.21354003,0.30679023,0.4199337,0.26682696,0.12111266,0.49126673,0.44870132,0.4409229,0.24357243,0.10666778,0.11658339,1.0,0.014352046
kettlebell,-0.086828634,-0.110927746,-0.1700323,-0.0076745525,-0.29497492,0.06958011,-0.11180709,-0.008685179,0.08149627,-0.112149715,-0.10035176,-0.12078971,0.14734963,-0.13711584,-0.07558033,-0.10610365,-0.15932491,-0.47798458,0.123156756,-0.06948817,-0.31181836,0.14418478,-0.1384517,-0.057444446,0.16081634,-0.06790176,0.24283352,0.21137872,0.052913472,-0.06533034,-0.10615032,-0.25691375,-0.16334644,-0.27805614,-0.16193226,0.107489675,-0.45936978,-0.38539034,-0.024034746,-0.06878579,0.009068169,-0.08202657,-0.11504543,-0.00771641,0.08656164,-0.18352991,-0.1605631,-0.2886656,-0.16417828,0.014352046,1.0
